job_title,company_Name,job_url,job_Location,job_Summery,job_posted_Date,job_Salary
,JR Automation,https://www.indeed.com/cmp/Jr-Automation,"Holland, MI 49424",In this role you will ensure custom software and integrations meet the needs of the business.,Posted1 day ago,
AI Machine Learning Engineer,Deloitte,https://www.indeed.com/cmp/Deloitte,"Grand Rapids, MI 49503 (Heartside area)","Our AI and Technology teams are building AI-enabled solutions across our offering areas in Cyber Security, Fraud Detection, Digital Controls, Predictive…",Posted30+ days ago,
iOS Developer,Deloitte,https://www.indeed.com/cmp/Deloitte,"Grand Rapids, MI 49503 (Heartside area)","As an experienced iOS Developer, you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of…",Posted30+ days ago,
Senior Backend Engineer (Payment Startup for Trucking),Recruiting From Scratch,https://www.indeed.com/addlLoc/redirect?tk=1fr2rnkf0u42j800&jk=814d069c8965cbcd&dest=%2Fjobs%3Fq%3Dprogrammer%26l%3Dgrand%2Brapids%2BMI%26grpKey%3D8gcGdG9mdGNsuA%252Fi0so2qhArCgtvY2N1cGF0aW9ucxoFNU5ONTMaBUVHNk1QGgVFSFBXORoFSEpTWDZAAQ%253D%253D,"Remote in Kentwood, MI+27 locations",Our client is building Stripe for Transportation - modernizing payments infrastructure in the trucking industry.,Posted14 days ago,Estimated $122K – $155K a year
,Recruiting From Scratch,https://www.indeed.com/addlLoc/redirect?tk=1fr2rnkf0u42j800&jk=dfe2938fd344beb1&dest=%2Fjobs%3Fq%3Dprogrammer%26l%3Dgrand%2Brapids%2BMI%26grpKey%3D8gcGdG9mdGNsuA%252Fi0so2qhA5CgtvY2N1cGF0aW9ucxoFNU5ONTMaBThZTVFRGgVDWlZLVxoFRUhQVzkaBUhKU1g2GgVUTURURkAB,"Remote in Kentwood, MI+2 locations","Our client is a crypto exchange and custodian that allows customers to buy, sell, store, and earn more than 30 cryptocurrencies like bitcoin, bitcoin cash,…",PostedToday,Estimated $112K – $141K a year
DevOps Cloud Engineer (Remote),Dematic,https://www.indeed.com/cmp/Dematic,"Remote in Grand Rapids, MI","This is a key position in our Hosting team within our Infrastructure group, which is responsible for designing and developing scalable, maintainable, and highly…",Posted30+ days ago,Estimated $95.8K – $121K a year
Platform and Test Software Advanced Lead Engineer,GE Aviation,https://www.indeed.com/cmp/GE-Aviation,"Grand Rapids, MI 49512","The Platform and Test Software Advanced Lead Engineer demonstrates accountability for functional, business, and broad company objectives.",Posted15 days ago,Estimated $117K – $148K a year
IT Manager - Software Development (Remote Available),"Herman Miller, Inc.","https://www.indeed.com/cmp/Herman-Miller,-Inc.","Remote in Zeeland, MI","Managing a software development team that is part of several self-organized, cross-functional Agile product teams.",Posted9 days ago,
Sr. Software Developer,Amway Inc.,https://www.indeed.com/cmp/Amway,"Ada, MI 49355","In this role, we would leverage your technical skills to develop and maintain our product discovery and merchandising applications.",Posted30+ days ago,Estimated $112K – $142K a year
Senior Programmer,Macatawa Bank,https://www.indeed.com/cmp/Macatawa-Bank,"Holland, MI 49424",The Senior Programmer is dedicated to providing technical solutions to complex business problems using the Microsoft .,Posted30+ days ago,Estimated $92K – $117K a year
Application Development Analyst,A-Technologies,"https://www.indeed.com/jobs?q=A-technologies&l=Grand+Rapids,+MI","Grand Rapids, MI","Designs, codes or configures, tests, debugs, deploys, documents and maintains large and/or complex programs, using a variety of software development toolkits,…",Posted30+ days ago,Estimated $90.2K – $114K a year
Software Engineer,"Byrne Electrical Specialists, Inc",https://www.indeed.com/cmp/Byrne-Electrical-Specialists,"Rockford, MI 49341",Job Summary: This role helps drive Byrne’s digital customer presence through collaboration across the organization (or across our departments) in partnership…,Posted30+ days ago,Estimated $77.4K – $98K a year
Software Cloud Engineer,KION Group AG,"https://www.indeed.com/q-Kion-Group-Ag-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI","Dematic is seeking Software Engineers with the ability to design and implement large-scale software solutions, focusing on microservice architectures and…",Posted30+ days ago,Estimated $99.2K – $126K a year
